Model,accuracy,precision,recall,f1_score,roc_auc,avg_precision
Random Forest,0.9930987558320373,0.9964022306170175,0.9784490372725667,0.9873440285204991,0.9995446018872889,0.9990223681762936
XGBoost,0.994653965785381,0.9948297379211981,0.985691573926868,0.9902395740905058,0.9997268866744918,0.9993615628212701
Logistic Regression,0.9809972783825817,0.9892313405124397,0.9411764705882353,0.9646057753236172,0.9965533891841792,0.9930972709351151
